,actual,predicted,tweet
39,0,1,When I start singing songs from Once More With Feeling to myself while at work... #Buffymusical #stuckinmyhead
40,0,1,"I'm heading off, but need to say this! ""Just because I am concerned for my country, and it's people-Does #NOT make me a racist! #Terrorists"
41,0,1,Work hard in silence; let success make the noise.
42,0,1,@anthonyboutall - p.s. strong tweet. particularly Horatio's involvement in the matters #bloodlinecontinues xxx
43,0,1,"@folieadang aha, but white girl drinks make me 'so so cray tipsy'"
44,0,1,"Access to housing is not a fundamental human right, according to Ontario courts: http://t.co/ykf7vB53RM #onpoli #TOpoli #cdnpoli"
45,0,1,And then my sister should be home from college by time I get home from babysitting. And it's payday. THIS IS A GOOD FRIDAY
46,0,1,"Oh dear, some people don't get #irony 😳"
47,0,1,@RoughHouseSGW rollins was so pissed off haha
48,0,1,@davemrlean I do love a chilled night in. Saves having a hangover to😂 thank you hun X
49,0,1,@onedirection guys!!! you've just smashed it!! #WhereDoBrokenHeartsGo #XFactorFinal
50,0,1,i wanna be at home already
51,0,1,Just realized my last final is tomorrow. FAAAAA-
52,0,1,Two years later & gingerbread house making still makes me cry.
53,0,1,@JasminHadasah #sarcasm is a service I offer.
54,0,1,Nice touch. All the bar staff in the ground wearing #saintsfc t shirts
55,0,1,@GMA his daughter is painting his toes! That is a parenting WIN in my book.
56,0,1,Can always count on you to speak to me on here then delete the messages so It looks like I'm talking to myself. 😒 @TristanReece_
57,0,1,@reisawal I swear we must be twins
58,0,1,Some days are just better than others..
59,0,1,"After getting a total of 4 hours of sleep in 2 days, I FINALLY got good sleep last night😁"
60,0,1,"@MaraAzzurra89 and that ""somebody"" thought you were Padoin sister LoL !!! #SarcasmFail"
61,0,1,Once again @BarackObama is re writing history re: #CubaEmbargo ! *primal scream* #tcot
62,0,1,Joe Cole just casually walking past...
63,0,1,Am I the only one who finds it very stressful when the #OrionLaunch feed keeps buffering...?!
64,0,1,Never seen the gym so packed
65,0,1,Remember to raise a glass of merry to those who are at work keeping the world safe on Christmas 🌎🎄🌏🎅🌍❄|🚑🚒🚓🚁🚢 #essentialservice
66,0,1,"Wishing everyone a Happy, Healthy, and Prosperous New Year!!!"
67,0,1,@cnsnews Obama and Hillary convinced Ukraine that they would protect them if they essentially disarm. Need to keep at least one promise.
68,0,1,Sleep. SLEEP YOU STUPID IDIOT I WANNA LEAVE MY ROOM
69,0,1,Really missing my momma today.. More than usual. I don't think today will be a good day
70,0,1,I won't be surprised if shelling across pak border intensifies during Delhi Elections to change issues of election's. http://t.co/Ohgg9jQ6hJ
71,0,1,Every inch of you is perfect from the bottom to the top UNLESS YOU'RE SKINNY #Shade #Sarcasm #TheMoreYouKnow
72,0,1,@GalloSays this game is pathetic. How are they losing this game?
73,0,1,The only company I thought would be best for the thesis is unfortunately taken already... a year ago..
74,0,1,5 dollar OBX 1 dollar Gboro gone #lockitin #lottoclub #bankopen #doumenturdeposit#not criminal http://t.co/nYsbehzJqS
75,0,1,"Regarding my #ATT case; I've contacted the BBB, FCC, and my States Attorney General. next... #WFAA #not #stopping"
76,0,1,Acronyms because we're cool as fuck. Judge me. http://t.co/0CK2VNqIKR
77,0,1,I'm really excited for next semester
78,0,1,"@MericaMcFreedom @Heritage Actually, even delivery won't save some. O voted to let born alive die. Also, look up ""4th trimester abortions""."
79,0,1,@tombitt I wonder what % of that 43% agree on what a private cloud is
80,0,1,@Elena_in_Rome easiest CL group with two rubbish teams but we won only 1 CL game - even that lucky last minute pen#not good enough#gutted
81,0,1,Long day and its not going to be possible without my good friend #coffee
82,0,1,"If you know people who could talk power-dressing and social media marketing, please let me know. Thanks"
83,0,1,@oneplanetmikey I saw a leaf blowing in the breeze. You could yell at that if you wanted to?
84,0,1,I have officially surrounded myself with the most amazing people 😊
85,0,1,@jthurgood1 @Cameron_Gray republicans suck more at identifying #irony than alanis morissette.
86,0,1,Name an #excuse that people use #NOT to #workout ... http://t.co/tE75PwPGbm
87,0,1,@Brice_Jones but you can't expect us to hire one in only 3 weeks. Who moves that quickly on a coaching search? #sarcasm
88,0,1,@Ed_Miliband @edballsmp @andyburnhammp We Agree #NHSENGLAND needs to #Publish #AandE figures over #HolidayPeriod #Sarcasm from #JeremyHunt
89,0,1,"If you've got the world on a string, you should give me some of that string, think of all the cool applications. #whatamidoing"
90,0,1,Christmas this Christmas that FOH its just a day people !! get a grip and sit down nd chow some Mopani worms
91,0,1,The #Gophers aren't nervous. #SammyCommentary #Gophers
92,0,1,Sickens me that killing innocent black men & children has become such a lucrative career in America. #MikeBrown #TrayvonMartin #EricGarner
93,0,1,"@steveh603 so if they undo the affordable care act, and I should expect my insurance to decline 33%? #Not #Gonna #Happen"
94,0,1,#Sarcasm makes you mentally stronger. Which is very effective when dealing with emotional #stress and #fustration.|#funfact #WhatIfISay
95,0,1,Also it's amazing how a shower and Taco Bell can make you feel like a new person. @TacoBellProbbs
96,0,1,"Heartless Sanghi #Sarcasm""@Retributions: #IndiawithPakistan because a dumb nation deserves to be taken for a ride again and again. #Lakhvi"""
97,0,1,I need to get out of this car before I kill my dad.
98,0,1,Everytime I try to like Chris Brown he does something to royally eff that up. Dude is a chronic loose cannon #chrisbrown #Karrueche
99,0,1,That sad moment you realize you're past the point of having all those presents under the tree. I wanna move back in.
100,0,1,Rejoice in knowing he is now in his new place...#not easy
101,0,1,"When ""make dua for me bro"" turns into an hour long conversation"
102,0,1,"@_Liam_Walker_ @TheOxfordMail A thief, a liar, a vote rigger, mocks those who use food banks and an online bully #irony"
103,0,1,"What the hell has happened to Shahid Afridi in last couple of days? Left alone more bouncers than played, got a review right. #pakvnz"
104,0,1,@IsaJennie @deray @Nettaaaaaaaa but of course it was. Cops could shoot a black man in front of a hospital & I bet you he'd still get no aid.
105,0,1,"Every you're a fucking cunt, lying cunt did I say cunt song is about you now. How cute is that #defo #not #pissed #off #nope"
106,0,1,i hate waking up in the mornings 😒#basicbrianna #not #an #early #bird
107,0,1,I wish I did better in high school
108,0,1,At the Toys for Lil Troops event for @USVeteransCorps donating toys to children of deployed and low income troops. http://t.co/IBkWl858EE
109,0,1,I wonder how many people who visit food banks have huge TVs or are drunks? #freedomofspeech #foodbanks
110,0,1,"#Alien dit : What is #Religion, it is a culture that has been invented by a #Fool who wanted to do everything that is #Not legal #Legally.."
111,0,1,Forgot to enter #sarcasm
112,0,1,Long distance relationships are serious SH*t #not ayoba...
113,0,1,So not okay with DB's racist jokes.
114,0,1,"The feeling you get, when you just wanna flip the table and screw the finals."
115,0,1,They working me so hard tonite
116,0,1,@francescapinder @girlposts this vine won't come up 😫😫😫
117,0,1,"Hey @Enasni, some of your geeky/nerdy followers need #sarcasm marker on posts like that. Otherwise, they'll start doing exactly the same :)"
118,0,1,"Change is a Process, ||#Not an Event dafuq you thinking"
119,0,1,Seriously has the #BBL04 got the tallest on ground interviewers of all time #talltowers #sevenfoot
120,0,1,When ya mates dad starts poking you on Facebook #Cringe 😲😬
121,0,1,These refs are pissing me off. They seriously have no idea of what's going on.
122,0,1,has anyone visualised the different colours and flavours of twitter streams? kinda lipmus test.
123,0,1,When hailey I play trivia crack she wants the sports & entertainment while I aim for the science and history hahahah
124,0,1,Welcome to the surrealist estate agency!! http://t.co/IcLOrQ0P8d
125,0,1,The fucking car just gave up..! #car #died #not-happy
126,0,1,My babygirl has an imaginary friend it's so cute to watch her talk to it.
127,0,1,@clarkeysntfc @lawsondath92 @GregorRoberts0n @coach_carts @Cressy_36 @tozer_ben I'm still going to Exeter whether they care or not
128,0,1,@TorontoStar: NDP to introduce bill to make OHIP public #not appropriate # confidentiality
129,0,1,Oregon marching band playing @steveaustinBSR music. #awesome #OregonDucks #OregonvsFloridaState #RoseBowl2015
130,0,1,@lisawhybourn we don't have a good enough singles depth atm to even account for doubles the problem has never been doubles always singles
131,0,1,@JustQueenVee @deray Ladies wouldn't use that language.But I guess you are not one.
132,0,1,@RosieMorse I hate you lol
133,0,1,"Shopping day with Ms 15 today. Her haul included new Docs, eyeliner, bras, new issue Frankie mag, and half of Kikki K. Tired and broke now."
134,0,1,Hyper at 1AM when I really should be getting rest #ohwhale 🐋🐳
135,0,1,@Margoandhow @imalexbeamyrnot spawn of Larry Ellison aka World's Worst Human
136,0,1,Now to write a JavaScript RegExp that allows . and ' in e-mail addresses... http://t.co/HE3NTbhTpQ
137,0,1,@Adsy_1 You're a tough bugger ;p
138,0,1,"Oh Oh mum is #not #going to be #pleased #littletike http://t.co/5Q01FsYjCW"""
139,0,1,@restlessduncan @SR_Duncan At least you got my joke
140,0,1,@cavs THAT'S WHAT I'M TALKING ABOUT! Awesome Win CAVS!!!!!!
141,0,1,@FireInTheLyons Go you! #not Home until the 1st Jan. So excited!
142,0,1,@SR_Duncan Three minutes is better than no minutes
143,0,1,The ones that caught me by surprise were the ones I didn't expect #duh #redundantredundant
144,0,1,This time last year...shiid was hella funny...unforgettable #khwaaaa
145,0,1,Hoar frost is challenging for some to spell.
146,0,1,@AusPublica @KateOnTheGo Your views are not right wing or left wing...just vile.
147,0,1,Looking at the stairs & imaging that scary dark creature coming up freaks me out
148,0,1,@GalloSays at least there's a good football game on with zero chance of either of our teams losing lol
149,0,1,"@ollielocke now, to remember which book... #goodluck"
150,0,1,@ArianaGicPerry Ahem... yeah.. something like that ;)#irony is one of the few things keeping sanity when facing RU propaganda. #CrazyIvan
151,0,1,@deray Definitely not...racism is systematic and entrenched in every American institution..also in black/white binary construction
152,0,1,Forest Hills Drive on my playlist naw....
153,0,1,"sony emails tells me a few things. wealthy, high powered business(wo)men are ugly people, stupid & need to learn how to spell. #SonyHack"
154,0,1,I have a very annoying bluetick for sale. 8 yrs old. Needs babied and a bath. #sarcasm
155,0,1,"@RandBallsStu @floyding I mean Zach is a teacher, amirite?"
156,0,1,My body refuses to sleep. #fucccck
157,0,1,@onherperiod: hey sorry im late i didnt want to come #myperiod
158,0,1,"Yeah, you're a grown up & at times feel very nostalgic towards your Bachpan. Iife's handiwork!!"
159,0,1,"Mike Smith and Brian Hoyer walk into a bar. They sit down and at the same time say ""I told you it wasn't all my fault"" #Coyotes #Browns"
160,0,1,@holyroodmandy @jimmurphymp @scottishlabour problem solved no more reading out at FMQ what someone at WM wrote #irony
161,0,1,@AndrewDBailey Tough crowd. Josh Smith was tremendous tonight.
162,0,1,"@kevinperry Would be also great if David teamed up with his old man again at the Carols, similar to a few years back.#Greatdou in both cases"
163,0,1,Finished the year strong with a good bike workout! Missed a lot this year resting my shoulder--hoping for better in 2015. Happy new year.
164,0,1,@neverczarina trying hard to be fragile and petite. Hahaha. Happy new year liabeeeeee more clingy moments 😂😂😂
165,0,1,@MohammadFarooq_ grateful for this encouragement :))
166,0,1,"@Espngreeny @espngolic ""pit players v. victims?"" How dare the NFL put a divide between men and the women and children they beat? #sarcasm"
167,0,1,"That awkward moment when you plane your whole day around your Golf Class, and it gets cancelled! #stupidrain"
168,0,1,"Putting good things in my mind for lunch today instead of just internet junk. Oh, and tweeting. Tweeting good for building tribe."
169,0,1,I can't even begin to explain my frustration. 😒
170,0,1,I had the most broke friends in undergrad now these fools get a lil money and want to act uppity as ever
171,0,1,That's comfortably the most stonewall penalty I've ever seen.. What are these refs on? #hadone #Stoke
172,0,1,Everybody's Talking about Snow and I'm just Sitting Here and the only Snow around is on our Cars.. #snow #not
173,0,1,@naomiwgrossman You blew my mind on #AHSFREAKSHOW You're brilliant.
174,0,1,@KateOnTheGo Things also go slowly when you are waiting for them especially!
175,0,1,Hardest parking i've probably ever done! #screwyousmallparkinglot
176,0,1,#farage a t1t in public who doesnt agree with seeing t1ts in public #breastfeeding #irony
177,0,1,@SR_Duncan @OreoSpeedwagon_ Ah ok. Well I hope things keep going well with person A x
178,0,1,"@OhSoSylvie start with India , I need to be somewhere they don't speak great English so I don't have to say much lol"
179,0,1,"I'm officially making today ""Single men get a smoothie"" day because that's who my customers have been all day."
180,0,1,Katie pisses me off so bad #TheApprentice
181,0,1,Rest in peace riff God! #Dimebag #Darrell #is #not #dead #pantera
182,0,1,John Stockton in a commercial?!! Holy crap! #NBABallot
183,0,1,I have this weird urge to buy a hamster
184,0,1,@robinhosking where did THAT come from?!
185,0,1,I am downloading #AdvancedWarfare now!! Can't play it until 22nd of December tho :/ #Exams
186,0,1,@JohnPUTCH @CougarTownRally @CourteneyCox @bobclendenin @MrJoshHopkins @IBGomez I am so immensely sad about this.
187,0,1,"Absolutely no #ALP or @jrobertsonmp fan, but seriously many have done this before him & many will. #Scapegoat #Excuse he was a lame duck"
188,0,1,@TonyRohrs they've spread their positions off with long feeder cattle! #sarcasm
189,0,1,It's all about Twitter #not a clue
190,0,1,Tulisa has really made herself ugly #xfactor
191,0,1,can I just own an isle far away from here where my house is stunningly beautiful with only some closed ppl who appreciates me as a human
192,0,1,the struggle of writing this article and studying for this journalism final is killer.
193,0,1,"@pembertonx just lost a fiver already on the early kick off, cheers Forrest :)"
194,0,1,So glad I'm off work tonite🙋
195,0,1,Please snow let us get out of dance early
196,0,1,So baffled that WWE wrestling is still as popular as it is. All my friends went to the show in DC. I stopped watching like 12 years ago!
197,0,1,@HollyManthei no one really says that
198,0,1,"@dhawanvijoy The ones who did this, and the ones who support this,cannot be human.RADICAL Islam =Satan's Army.#PeshawarAttack"
199,0,1,Today was a very good day in Iceland.
200,0,1,Today's NCAA action on the way.
201,0,1,@StephHammy @ZacapaRum lol.. Old enough to know better... Young enough to do it again
202,0,1,"My mom is the most annoying person I know. I know you're gonna read this since you creep my account, s/o to my mom #idc#istillloveyou"
203,0,1,@MoAnsar @LouiseMensch Talking to yourself again Mo #Irony
204,0,1,"@Arlo2121 yep, overall it was a great show live. ending of the TLC match was fubar, and the stairs match was terrrible."
205,0,1,It's always the little things that's attracts me
206,0,1,I think about Disney World just about every day. #missit #myhappyplace
207,0,1,@HallieCiera Well maybe if you werent such a noob you would be up talking to me at 2:30 in the morning :P
208,0,1,#not insured
209,0,1,@chantalireland thankfully not full cold.. Just one side down. Getting the full vitamin netty pot combo blast now
210,0,1,How were your #holidays? We'd love to hear all about them!
211,0,1,Munching cheese like its Christmas #stiltonoverload
212,0,1,The thought of work tonight really kills that Friday feeling.
213,0,1,@AfterGrogBlog #pantsdowntiggy was his crime. Pixelation #moot or #irony
214,0,1,I've got a right thirst on... #NewsYearsEve
215,0,1,#mcfc trying to kill their opponents.
216,0,1,Even getting cooked breakfast.. Hes defo up to something 😕😮😆😆
217,0,1,I really want to see Into The Woods!
218,0,1,@GazGShore please make me smile this Xmas.. First Xmas without my mum here. Your my fav everrr. Pleaseeee🎄🎁🎁
219,0,1,@lawsondath92 Hope the header didn't mess up that barnet
220,0,1,I'll try to guess the ASCII symbols without my admins help. Always trying to learn.
221,0,1,"@classicdrwho247 Great,& not sure if i've seen that actual pic! #not just for girls : D"
222,0,1,"If you drag yesterday into today, your tomorrow cannot be what it was meant to be. Let. It. Go. #BringOn2015"
