,actual,predicted,tweet
21,1,1,@siddharth_0703 180 dead on 26/11 n more than 10k our ppl killed in terror attacks till date but not 1 paki show sympathy 2 them #irony
22,1,1,Rangers league game with Alloa moved because of the Petrofac Cup final in April... #irony
23,1,1,Been at the ER now since 10... #yay #not
24,1,1,"30 years on, people still haven't got justice they deserve. #BhopalGasTragedy Yet another brilliant job done by the Americans #sarcasm"
25,1,1,Loooovvveeeeeee when my phone gets wiped -.- #not
26,1,1,Painting all cops with a broad brush because of the actions of a few is the same logic racists use. #Irony
27,1,1,Don't know if I can handle this crazy 11-2 shift. It's so long I might pass out on the job! #sarcasm
28,1,1,I just love being ignored😊|#not😒
29,1,1,"#Irony RT @West1Jess: If you're going to give someone a scathing, 1-Star review for poor grammar, FFS use proper grammar."
30,1,1,Produce Mobile Apps #not http://t.co/3OV57ZhqcH http://t.co/wX1DbI8W9M
31,1,1,Decide that you want it more than you are afraid of it. -Bill Cosby|#irony
32,1,1,itsfunny bc people think im quiet|but im just listening toeveryones convos|and figuring out ur weaknesses|todestroy u later in life #sarcasm
33,1,1,I reckon straight women fancy victoria secret models more than straight men do #victoriasecret #irony
34,1,1,@GlobalGrind Niagra Falls tho... Really? #irony #LOL
35,1,1,"Since the tribunal was established 14 years ago, no complaint against the intelligence services has ever been upheld. #trustthesystem #not"
36,1,1,@LadySandersfarm: Garner protesters chant 'F*ck Fox News' despite Fox agreeing with them http://t.co/GWIS4hZAI6 #EricGarner #Irony
37,1,1,@RozieBreen @CllrKWakefield @tomriordan @GaryVerity @BBCLeedsif we get it right for business the trickle down fairy will do the rest #NOT
38,1,1,When you're in the doctors waiting room and hear a baby in the back screaming her lungs out is always a reassuring feeling #not
39,1,1,"Well now the festive season has begun, let's take a moment to reflect on how much more royalties Slade and Wizard will get #sarcasm"
40,1,1,I just wrote a 13 page paper... I was awfully tired when I was writing it and now I can't sleep. #irony
41,1,1,There's no better way to start the week than to get your wisdom teeth taken out at 8 am!!! #not ☺😊😳
42,1,1,The most exciting way to start a Friday: a presentation on structurally deficient bridges. #sarcasm #lobbyinglife
43,1,1,Incidentally the foreword for movie #BhopalAPrayerForRain is by Subroto Roy Sahara - saying - justice delayed is justice denied. #Irony
44,1,1,@RadiNabulsi Our 3 losses followed bye weeks & an FCS team. Do we get rid of those next year? #sarcasm
45,1,1,#Malala Yousufzai receives #NobelPeacePrize and #Pakistan ranks in top 10 dangerous countries !!! #irony
46,1,1,Testing water temperatures #excitingtimes #Not
47,1,1,Waking up with your cat attacking your hand is always delightful..... #not
48,1,1,I blame my mom. Mother of the Year #sarcasm
49,1,1,Pulling my books out to prepare to organize my new bookshelves caused me to forget to bring my book today. #irony
50,1,1,"The Bay Area storm is so big that tons of people's work was canceled today, causing me to be early to mine. #irony #stormageddon"
51,1,1,Leaving whilst its dark is fun. #not
52,1,1,"@RealFrnkPhister Even though @PGA_JohnDaly's got more ex-wives than @PGATour majors, I'm happy for that washed-up mess... #Not!! #Blocked"
53,1,1,"how is it possible that somebody so interesting is also so, so, so boring? #irony #what"
54,1,1,".@ibnlive is the first to cut to ads during primetime to proudly announce that they're ""putting journalism first"". #Irony #NLprimetime"
55,1,1,".@ChrisBrett2 @/RBRNetwork1 @GaryBlackal @DiveConLFP I think it's your white skin. Or ""racist DNA"". He's a geneticist too, did ya know? #not"
56,1,1,So there used to be a crossfit place here.... #irony #pizzawins http://t.co/9BDkxT9GFJ
57,1,1,Watching Alison Jackson's portfolio of work #eurobest2014 seems she's cracked it. Celebrity + stunt = #viral #sarcasm
58,1,1,Spending the majority of my day in and out of the doctor has been awesome. #sarcasm
59,1,1,@TheStarPhoenix #spnews #yxe I hope you weren't driving when you took that picture. #irony
60,1,1,"@Tesco Yeah thanks for messing me about and then not delivering on the product, i feel really great about how this went down!! #Not #Thanks"
61,1,1,Christmas alone😊 how nice #not
62,1,1,work Wednesday-Sunday .. #yay #not #moneytho 😩😭💰😒
63,1,1,@LariatOfHestia: Gavy is one rude motherfucker. *Subtweets me* *Calls me a motherfucker* #Irony
64,1,1,"@DuaneBougard: Been friendzoned too many times in my life, the perks of being the good guy #Sarcasm #Lifeall my life this has happened"
65,1,1,Yay for Fire Alarms at 3AM #not
66,1,1,Just paid $2.59 for gas! #ThanksObama #sarcasm
67,1,1,I am so ready for Monday. 🙆 #sarcasm
68,1,1,@SurianibteAbu if it got the attention of the smartass to comment that.. Didnt it work anyway?? #irony
69,1,1,When you're sick and you feel bad for your cells cause they're fighting hard for you. #blessed #appreciative #sarcasm #kinda
70,1,1,@ambika1900 @sankrant @CChristineFair @JTMondal @Al_Muwa7id Christian Europe translated Islamic manuscripts #Irony http://t.co/0hXEQig7hM
71,1,1,Aaaaaand now I've found out that Chrome slows down downloads when the screen saver activates. Just makes me love it more #sarcasm
72,1,1,@Wallace17_daKid Way to lay out yesterday and put it all on the line #GoodLeader #Sarcasm
73,1,1,Amar Singh gives A+ rating to the Modi govt but Arun #Shourie says more is said than done in present govt #Irony #Politics
74,1,1,@ardhow @Jmroberts343Jmr @Squarehighways |Thats a twist|Algorithms to cause more congestion & increase pollution|Too bizarre to be true #not
75,1,1,I'm absolutely positive that Coaches love it when parents tell them how to coach and run their program. #sarcasm #NOT #sticktoparenting
76,1,1,i literally love when someone throw me in at the deep end #irony #tough #life
77,1,1,Picked an excellent day to get my hair done 😒 #sarcasm
78,1,1,Waking up with a pounding headache is just what I need for this final #sarcasm
79,1,1,I didn't realize Boston Coach also operated in Chicago #irony #brands
80,1,1,@dsobek No ... now someone will start a rumor of $ABBV pricing their HCV drug same or higher than $GILD #sarcasm
81,1,1,"@Esmerodo @MonteMcNaughton @MacLeodLisa Yes, and conventional taxis drive verrrry safely. #pfft #sarcasm"
82,1,1,"Just ranted on and the moment I'm about to hit send, my ipod just died. #greatmorning #NOT"
83,1,1,@GazzaDowns I actually think he needs to use the youngsters in this reincarnation #irony
84,1,1,What a golden morning. 😒 #not
85,1,1,Everyone wants the truth but nobody wants to be honest... #irony
86,1,1,"@MiddleChildSyn: You think my mom and I would get along better, she's a middle child too. #irony #middlechildsyndrome"
87,1,1,"Isn't this blaming the victim? #sarcasm RT @chronicle Every year, 600K college students are injured while drunk. http://t.co/guuGP49ZZD"
88,1,1,that time when ward was mad because skye hide a secret from him #irony #skyeward #AgentsofSHIELD http://t.co/znfxzbUYVu
89,1,1,Being a light sleeper is the best. #not
90,1,1,@NPCole23 hahaha yeah I think so too cause you know how she loves her with all her heart 😂😂😂.... #NOT 🔫.
91,1,1,"@Salon dualistic, as in good and evil? Right, because that doesn't apply to the real world.... #sarcasm #OrcsLive"
92,1,1,Sunday is such a fun day to study #not #ew #saywhat
93,1,1,Reunited with my pump this morning. #yay #not 😣
94,1,1,"My dad's still gonna get me santa's gifts since it's my last year before 18, but I really don't know what to ask for... #irony"
95,1,1,Remember that one time I worked both jobs while sick and it didnt suck at all... #sarcasm #notworthit
96,1,1,It is good that very few businesses/govts in EM economies have borrowed much via dollar-denominated loans from international banks. #Sarcasm
97,1,1,What a great way to start the day!! #Not 😠
98,1,1,@Atlantasportguy @darrenrovell @DJFJennings Just wait till Cleveland comes again! #sarcasm
99,1,1,"'Liberated' Iraq -- 2014 One of Bloodiest Years with More than 36,000 Victims: http://t.co/GCW05uriIT Thank you, Western liberators #sarcasm"
100,1,1,No one up? Okay cool #not
101,1,1,Just loveeee driving upstate in the snow #not
102,1,1,I love getting up at 4 30 so I can wait on other ppl! #sarcasm
103,1,1,and as much as I want to connect .. I like only the people who dont want to .. #Irony #Why oh why?
104,1,1,@ozchrisrock hold on a minute. Are you saying All blonde white women look the same?? #sarcasm
105,1,1,@ChristianCaple Gotta love those racially based awards! #not
106,1,1,clashupdate #not http://t.co/1bFOsIwnI5
107,1,1,That's always the solution..... #not. Doesn't fix anything!
108,1,1,"@SteveMcKrosky @imbalaska @DaveMyFace @Clover_Joy_ @den2114 @MeyrickHarris ""left regressives"" is that not a label #irony"
109,1,1,A #celebrity is a person who is known for his well-knownness. #fact #TeamFollowBack #irony
110,1,1,Is there a basketball game on today? I'm not really sure. #ESPN seems to not be promoting anything about it. #sarcasm
111,1,1,I am so glad that I woke up early for this office visit to have to the mother not show up! #not
112,1,1,"I actually just started crying while brushing my teeth due to lack of sleep, stress and test anxiety. Today's gonna be a good one... #not"
113,1,1,Don't you just love those people who won't shut up in class then hold everyone back by asking the teacher to repeat answers? #sarcasm
114,1,1,"@KAFosterSowell Oh, BELIEVE me. I agree totally. My tweet was pure #sarcasm. We need MORE #guns, not less. Santa is bringing me one. #2A"
115,1,1,Also it is funny how things at work get done when I'm on my off week #sarcasm
116,1,1,When I'm lacking inspiration I resort to scribbling angry/pretty things. Great start to the week! #sarcasm http://t.co/5QUSrZYBqA
117,1,1,I guess waking up every couple hours is cool |#not
118,1,1,"@Boeing, @SpaceX told to stop work under crew contracts #irony http://t.co/1Hyb70IATA"
119,1,1,Look good feel good! #not #TeamNoSleep #cantopeneyes
120,1,1,"@PoliticalAnt @emthedivine @mark3labs @elyse4design @chixenman @Morning_Joe yet in Ferguson, MO the mayor and Gov are Dems. #irony"
121,1,1,Abnormal professor walks in with the finals in a Zoloft bag #irony #psychhumor
122,1,1,@grimmers skiing in Regents Park much #not
123,1,1,Sub is making class go by so slow that I feel like I am losing brain cells. #irony #substitute #MoveitAlong
124,1,1,I love it when people ignore me. #sarcasm
125,1,1,What a great Christmas. 😅 #not
126,1,1,@Metri_HennyKing u bragged all yr about having Peyton in 2 leagues only to get beat in the 1st round in both #irony 😂😂😂😂
127,1,1,Jeez I wish the government paid for my food. #not #EBTbitches
128,1,1,Pretty Shitty day I'm gonna be soaked and full of mud and clay #iliketogetdirty #notreally #sarcasm
129,1,1,That moment when the ad plays flawlessly but the video keeps buffering #irony #YouTube @YouTube
130,1,1,Gotta love a Romanian playing an improvised version of jingle bells in a minor key. Really sets the festive mood. #not
131,1,1,Perfect time to get sick 😢 #not
132,1,1,My son gave me a cold......again!!! Yay! #sarcasm #NotExcitedAboutThisShitAtAll
133,1,1,"@zainabimam ""Malala is fake and planted by the US coz Pakistan is perfectly safe for kids going to school"" #PeshawarAttack #Sarcasm"
134,1,1,Yay jury duty 😒 #sarcasm
135,1,1,A burned tongue is a lovely way to start the day #sarcasm #ouch
136,1,1,Literally functioning on 4 hours of sleep and I feel great 😄 !! #Not #CollegeisKillingMe #OneMoreWeek
137,1,1,The #irony is anti state ppl will claim the little man (hacker) won when in reality the state won #sony
138,1,1,#HowToGetUnfollowed Post pictures or videos of you smoking. Especially blowing smoke at the camera. #SoCool #Not #GTFO
139,1,1,So ill. It actually hurts to breathe. Still that nice long walk to the station did me the world of good #not
140,1,1,@DarlaMiles7 then later he snuggles up to The Royals with giddy glee #Irony
141,1,1,it's International Human Rights Day #irony
142,1,1,So Jeremy Irons and Alan Rickman are BOTH in Marrakech just one week before I'm going there #everythingisfine #not #sonot
143,1,1,@houselanguage Thanks for pirating my music! :D #not
144,1,1,I like the feeling when people thinks they're 2 steps ahead of me... But the truth is they're miles and miles behind me AHAHAHAHA |#sarcasm
145,1,1,"BM ""gives me"" from 3 pm to 8 pm with my son today, that's fair huh? #NOT!"
146,1,1,@Mr_laddu and if Marathi man speak hindi to Chu*** samajhte hai #irony
147,1,1,Tomorrow three test signature.|Thank you. |#school #sarcasm
148,1,1,"So #GuardiansOfPeace win by threatening to destroy the #peace!!!, what a #irony"
149,1,1,Yay yet another week with a child home from school ill! Just a hint of #Sarcasm to brighten my day.
150,1,1,Gotta love being lied to.... #not
151,1,1,"American Red Cross van ""together we can save lives..."" And the driver is smoking. #irony"
152,1,1,#birthcontrol #lol #wtf #whatisbirthcontrol @planb great commercial #sarcasm
153,1,1,Oh how I love working in Baltimore #not
154,1,1,So I'm the school nurse today. And I have a fever. #irony
155,1,1,"Thanks for the dick pic, really, thanks. #Sarcasm"
156,1,1,Really loves dentist appointments. #sarcasm
157,1,1,I'm shocked that Mark May doesn't think the Buckeyes should be in the playoff!!! #Sarcasm
158,1,1,"Google scholarship application kept crashing in Chrome. Opened it in IE, finished application without incident. #irony"
159,1,1,"Gun nut yells at cops conducting DUI checkpoint, later hit by drunk driver on way home #irony #karma http://t.co/3EAMnVETe1"
160,1,1,It's snowing in Chicago #whitechristmas #not
161,1,1,Oh I just love when I wake up with a migraine 😒 #not #needmeds
162,1,1,Its a shame on an off day that the NFL doesnt have any interesting stories and isnt getting any attention. NOT #sarcasm
163,1,1,Cook and England rudderless at the death. Seven games and we've got progressively worse! Can't wait 'till they arrive here for WC #sarcasm
164,1,1,"Is there a ""like"" tab on me? I'm not a facebook status to be liked by people... #sarcasm #RudeButTrue"
165,1,1,08:01am on the dot and the buzzer rings #helloworld #not #sleepy #tired #nothanks
166,1,1,@ramzaruglia @gamergater7685 Ah the 2014 #GamerGate Ebola campaign. How many people did we kill? #sarcasm
167,1,1,Gael 'pro at presentations' Anderson #not #choke
168,1,1,Nothing says nature like the relentless sound of AM commuter traffic #fthunter #AMdogfun #not@allpeaceful
169,1,1,Loving how dominant the SEC is #Pause ..... #Not
170,1,1,Best Christmas Eve news: I have a half sister. 😂👍 #sarcasm #thanksdad
171,1,1,Throwing up is exactly what I want to be doing at 7:30am... 😷😷😷 #not
172,1,1,Well this is great.. #sarcasm|Illinois Passes Bill That Makes It Illegal To Record The Police http://t.co/FZaY2AVx9t
173,1,1,so glad I came to work at 7:30am for all the customers that are here!!!!!! #not #itsdead
174,1,1,Full on man flu just in time for a weekend of work!! #awesome #sarcasm #coldandflu
175,1,1,"@JeffDauler @Scottydons87 the cop also had prior misconduct charges. But, ya know, that's ok #sarcasm"
176,1,1,"Zuma reads the quote ""People are not fighting for ideas, they fight for material benefits. To live in peace."" #Irony #YCLNationalCongress"
177,1,1,Because a field trip two days before finals is exactly what I need #not
178,1,1,I wonder what triggered the anxiety? #sarcasm
179,1,1,Love waking up to no heat in my apartment #not #socold
180,1,1,Nice weather for today.. #not 😠
181,1,1,"Decided I'd go to bed ""early"" for once. I've been laying here since 2 am. Yet the total amount of sleep I've had all week is 10 hrs. #irony"
182,1,1,@BarryBlackNE I don't think the Hereditary Baronet wants to encourage a something-for-nothing culture :-$ #irony
183,1,1,Not everyone's really for you no matter how long you knew them . And not everyone's a bad person just because it's been a short time. #irony
184,1,1,I bet Joel Embiid is psyched to come back from his injury to play for the worst team in NBA history. #Sarcasm
185,1,1,final labs coursework submitted!! now to treat myself by catching up with the whole semester's lectures #winning #not
186,1,1,@PRoseish_2 @mcspocky more people are in prison because of drug related crimes. But you know gun crime is up #sarcasm
187,1,1,Today is going to be a great day . #not. 😔
188,1,1,@MTNza so apparently twitter is free... so why is my data being depleted using twitter? #not impressed
189,1,1,Taking a hour to shit is always a good thing. #not
190,1,1,"My entire career has been devoted to being a BOSS in beating corruption, but I get beat in a corrupt election #Irony #SoCloseTilden #1Vote"
191,1,1,Yay I just love this time of the month...! #Sarcasm
192,1,1,"Someone took my lucky hat today, yay, isn't that fun... #sarcasm #IhopeIGetItBack"
193,1,1,"@ProgressMich kids don't need schools! Schools just turn them into gay atheists, gaytheists, if you will. #sarcasm"
194,1,1,@TSTG11 @Shweta_97 @AparnaRam_ same here. Tryin to link d convos bt another tweet cums up. #Sarcasm is the only wrd repeated.😂😂😂😂😂
195,1,1,Shitty drivers are always fun. #not
196,1,1,@RanjeniM Just realised we missed it too. In the middle of a tech troubleshooting mission to get an article on Madiba up on the site. #irony
197,1,1,Anybody using their rights to protest legally gets the law thrown at them. & the ones who do the crimes don't. That's #Irony #NotJustice
198,1,1,"~I'm not closed-minded, I'm just dogmatic~ #sarcasm #contradictions"
199,1,1,A Puppet at the #PTI rally wanting to make #NayaPakistan #irony http://t.co/3kAny6qhKr
200,1,1,Fighting over chargers is definitely how I wanted to start my day.😒 #not
201,1,1,"My coach is so supportive. ""tighten your belt, pick up the weight and just do it."" #sarcasm #ithinkhehatesmesomedays #itsmostlylove"
202,1,1,Cause I love going to bed alone every night.. #not
203,1,1,Kid who tried stealing tools from me is now mad cuz someone took his hot sauce out of the fridge at work #Irony
204,1,1,EmoPostAhead lol the sucky thing about seeing beauty in everything? You see the beauty in a liar #BeautifulLiar #lovethwayyoulie #NOT
205,1,1,This team would finish fourth. #Irony #Arsenal #Afc
206,1,1,what a lovely perma-fall we're having here in milwaukee. #not #doomandgloom #gimmesnow
207,1,1,Driving into town on very well cleaned country road I see a tow truck veer off too far to shoulder & get sucked into ditch. #Irony
208,1,1,You could say after today I'm officially necrophelic #LatinFinal #justajoke #not intodeadthings
209,1,1,"tried to export an azure vm, well that went ok #sarcasm #vmcorrupt #thankyoumicrosoft #startalloveragain"
210,1,1,An 'important' call from the council about a form we did 3 months ago is just what I need an hour before we head off to Disneyland. #not
211,1,1,Laptop speakers are too quiet for music & simply too loud for porn 😒 !#Irony
212,1,1,@AskPlayStation returning my brand new ps4 thanks to your faulty security. #goodjob #not
213,1,1,Most of us didn't focus in the #ADHD lecture. |.|#irony
214,1,1,@fbhw great story about the student trying to get the teacher fired!!#sarcasm#moron#storywasstupid
215,1,1,@charleswhite816 @DelbartonHockey I will let @bshatel know - I'm sure he is shaking/quaking in his boots. #not
216,1,1,@ParasiteCoD maybe you should grind the gym man #not #calling #you #fat
217,1,1,My favorite thing is waking up at 4 and driving 20 minutes in the snow just to see this bitch ass #Not #PaneraProTeam http://t.co/qebtDSVoRT
218,1,1,I love it when people try to tell me that Oakland is so much easier than other schools 😡 #not
219,1,1,@TrevorDickerson but hey we could just kill their kids in a drone strike cause that strategy seems to b working so well and #not
220,1,1,"Get on the work bus, driver turns his music on and the first song on is 'another day in paradise' #irony"
221,1,1,"Lots of people tweeting pictures from their cars of their snowy commutes to work, whilst saying ""stay safe"" Oh, the #irony!"
222,1,1,@KaylaBattaglia thanks I thought it was tomorrow #not #iknow #notthepoint
223,1,1,She talkin bout gender roles and we're the narrow minded ones #Irony
224,1,1,Yay for cars having a case of the Mondays. #not
225,1,1,Just woken up after 16 hour night shift to no gas. Looks like microwave meal and cold shower for me today. Woo!|#sarcasm #fml
226,1,1,A well known sci communicator is exaggerating the claims of a study into PR exaggerating the claims of scientific studies... #irony
227,1,1,@mfouesneau It's so the speaker remembers their talk's over. Otherwise how would they know? #sarcasm
228,1,1,"Murdered baby, black man in US, kids in Thailand and a woman's body in Avon gorge. It's a jolly day for news today #sarcasm"
229,1,1,@andygreencre8iv @_BARRYISLAND_ Pulled by White Van Man by the looks of it. Yuk .. so naff. That keeps the magic of xmas alive..#NOT
230,1,1,"I'm so sore, work tomorrow is gonna be fun.. #not"
231,1,1,"#Mahathir, one of the godfathers of Asian values, Malaysians are ""stupid"", don't know how to run an airline #irony http://t.co/KzR6aAtrBo"
232,1,1,@WendyWilliams that's some bullshit that's a complete rip off for those items. And I bet some of u idiots really that's a good sale. #NOT
233,1,1,"I like to think of myself as a broken down Justin Bieber - my philosophy professor, everyone. #sarcasm"
234,1,1,"20 years ago I arrived in CR, happy to leave behind all the malls and rampant materialism of the US. Went xmas shopping in PRG today #irony"
235,1,1,@anamyid @i_contemplate_ @left_liberal effigies of jesus or allah..... when she herself hadnt kept any of d hindu gods #irony
236,1,1,I have three exams today lets gooooo! #School #Sarcasm #Swag
237,1,1,Welll helllo fever. Id say 103 is feelin real good today #not
238,1,1,Monday morning inspiration! #sarcasm #itstruetho #donttrustnobody #iwokeuplikethis... http://t.co/DQeFbx80v5
239,1,1,"@Latinos4PP @CecileRichards @HHSLatino @CuidadoDeSalud @LULAC @EnrollAmerica #irony #oxymoron ""planned parenthood"" nothing abt parenting"
240,1,1,Trying to eat crackers on the quiet floor likeee.. Maybe if I chew slower no one will notice..#not
241,1,1,"Woke up with my foot the size of a balloon, that's just what I needed.. #not #ouch"
242,1,1,@coreybking thanks for the spoiler!!!! #not
243,1,1,Congress just screwed us but it's a great day in the District because we got another stadium! #sarcasm
244,1,1,Highly inflamed stomach is just what I like #not
245,1,1,almost 72 hs of a kid asking for his christmas gift and zero answers from @AskPlayStation thank you guys! you are awesome #not
246,1,1,Horray to working all weekend! #sarcasm #ohwell 💰💰👍😏
247,1,1,"I do hope you Anti #GamerGate'rs will sleep better, knowing that sabotaging charities would make you more respectable in society. #sarcasm"
248,1,1,13 voice mails at work is always lovely #not
249,1,1,Sick on Christmas YAYYYY #not
250,1,1,Ah yes. Just what I wanted today- a pounding migraine. #Sarcasm
251,1,1,The thirstiest of thirst buckets calling other people thirsty 😒 #irony
252,1,1,Love the fact that I turned off my alarm this morning and slept till so freaking late #not
253,1,1,"@SusanCalman @ClaireofThorpe Yet no ""dog in the manger"" that actually makes it a dog in a manger story #Irony"
254,1,1,"Laborers in the San Joaquin Valley, one of the most productive farming regions in the world, suffer from food insecurity. #irony #poverty"
255,1,1,"I think my friend just sent @FrankieBallard a snapchat of me drinkin water, cuz she's fun like that #sarcasm #rehydratewhenyadehydrate #brat"
256,1,1,Girls won't answer their phone when I'm calling them bc they think I'm calling them in early but I'm actually calling to cut them #irony
257,1,1,@GMA make sure you don't say Christmas!! The decorate for the holiday. #sarcasm #itisachristmastree
258,1,1,Re: prison book ban - Of course Grayling is also trying to ban Judicial Reviews #irony
259,1,1,Rolled out of bed for closing.... #ilookreallygood #not
260,1,1,Watching VT and Cincy - qb for VT with (GODS) down left arm (GIFT) down right arm. - #irony #howmanygods #punctuationmatters
261,1,1,"you seem super smart MT ""@GrannyMarried: @Docjp @JoAnnEileen ||#NO #BLEEDING happening in #WaterBoarding = it's #Not #Torture"""
262,1,1,Coin ! LeCoinCanard: Coin ! LeCoinCanard: Coin ! have a wank over this hashtag: Fazzanelli: JeffRoylat have a wank over this hashtag #Not...
263,1,1,@JoshuaSinghAIW that bump off the apron looked like it hurt.. was that padding u landed on? #sarcasm
264,1,1,It's okay @TicketmasterCA I didn't really want to see my idol anyway. #sarcasm
265,1,1,Hearing gun shots when I first wake up makes me feel like I'm in Compton. What a wonderful way to wake up. ❤ #sarcasm #imscared
266,1,1,#TGIF oh just kidding I have 30 mins from one job to the next. love 12 hour days. #serverlife #sarcasm #nolife
267,1,1,Just got yelled at by proxy. It's going to be an excellent day. #sarcasm
268,1,1,Making the most out of my last vacation day. #not #tvandsleep
269,1,1,So restaurants that thrive on the social nature of eating believe that mothers should only breastfeed in private? #irony
270,1,1,This long drive home later in the snow is gonna be shweeeet #not
